id,episode_id,index,text
Recap:Episode:Keepy_Uppy_1,Episode:Keepy_Uppy,1,"The girls start off enthusiastically, jumping all over the settees', but then have the idea to only do small hits to make it easier. However, they soon tire of that as it too simple, but Bandit arrives to make the game harder by pretending to read Bingo the newspaper and hugging Bluey."
Recap:Episode:Keepy_Uppy_2,Episode:Keepy_Uppy,2,"Bandit then turns on the fan and the leaf blower as the balloon gets pushed into the playroom full of toys, but the building block tower saves the balloon, but only until Bandit turns the fan on as it floats outside."
Recap:Episode:Keepy_Uppy_3,Episode:Keepy_Uppy,3,"Chilli joins in as the balloon mustn't touch the ground, else it will burst. It goes over into the next door neighbors yard and Lucky and his Dad, Pat, join in to return the balloon back to the Heelers' yard, with an injury sustained by Pat."
Recap:Episode:Keepy_Uppy_4,Episode:Keepy_Uppy,4,"The balloon eventually lands on the grass and pops making the girls sad. Bandit apologizes for making the game a bit too fun, but the girls and Lucky agree it was great fun. Chilli tells them they have one more balloon to play with, looking at Bandit. The ""Daddy balloon"" gets blown up to then be released, before collapsing into the family as all four are laughing."
Recap:Episode:Daddy_Robot_0,Episode:Daddy_Robot,0,"The episode begins with the girls being asked to tidy up the playroom by their mother; however they decide to activate their 'Daddy Robot' (Bandit pretending to be a robot) to tidy up instead. Once the order is given, they both relax on the settee. Both are so impressed with their plan, they decide that they never want to clean the playroom EVER again, and tell Daddy Robot this. Upon hearing this, Daddy Robot recalculates his objectives, and picks the girls up to take them out to the wheelie bin (as they are the creators of all the mess)."
Recap:Episode:Daddy_Robot_1,Episode:Daddy_Robot,1,"Chilli is spraying her houseplants as Daddy Robot and his ""rubbish"" pass by - Bluey grabs her spray bottle and squirts Daddy Robot who pretends to malfunction. The ""Syntax Error"" results in the girls being ""mistaken"" as vacuum cleaners, banjos, dirty laundry and a guinea pig before Daddy Robot commences a Cossack dance into the conservatory."
Recap:Episode:Daddy_Robot_2,Episode:Daddy_Robot,2,"The girls get Chilli to act as a ""Mummy Robot"", so they can sneak up on Daddy Robot and shut him down - but not before he falls in love with Mummy Robot  and performs an embarrassing, yet lively, Riverdance. While he is ""unconscious"", Chilli ""operates"" on Daddy Robot (pokes him with a crayon) as the girls explain how it was their fault that he ""malfunctioned"". Fortunately, Daddy Robot is ""repaired"" and wakes wanting to know of his next task. The girls take him into the playroom and tell him to sit down and relax, even bringing in Mummy Robot to sit with him. They then clean the playroom of their mess while Chilli and Bandit kiss one another, with the girls looking lovingly to their parents."
Recap:Episode:Shadowlands_0,Episode:Shadowlands,0,"Bluey, Snickers and Coco are playing ""What's the time Mrs. Wolf?"" when Coco pulls her usual trick to make the others walk right up to her. Bluey complains that she does this all the time to make it easier for herself. They decide to play a game of ""Shadowlands"" instead - the shadow areas is safe, while the areas of sunlight is the crocodile infested sea. Bluey reminds Coco that she has to follow the rules and not take shortcuts."
Recap:Episode:Shadowlands_1,Episode:Shadowlands,1,"The kids run and jump through the shadows, giggling until they reach a big sunlight patch that Snickers can’t jump over. Coco tries to suggest an easy way out but Bluey sternly rebuts her. Instead, Bluey and Coco come up with a plan to extend the shadow by climbing upon each other, and Snickers successfully jumps the gap."
Recap:Episode:Shadowlands_2,Episode:Shadowlands,2,"The game then takes them to the shadows of the cars parked on the road and all is going well until a car pulls out leaving Bluey with a massive gap in front of her. Coco suggests another shortcut and asks why they have to follow the rules. Bluey gives her best explanation: “Because they’re the rules!” Just then, a bus passes by, which casts a shadow over the gap, giving Bluey her chance."
Recap:Episode:Shadowlands_3,Episode:Shadowlands,3,"The kids then run up the wavering shadow of a palm trunk before getting stranded on a shadow island surrounded by the crocodiles. Realising they are trapped, they howl in sadness. Their mothers, on the picnic blanket island, hear them and produce some cupcakes. This time, both Snickers and Coco suggest they change the rules, so they can eat. Bluey is unable to offer a good reason as to why they cannot  pretend to be Water Boatmen, conceding to the proposal. Just before they set off, however, a cloud appears overhead, casting a shadow over the entire field."
Recap:Episode:Shadowlands_4,Episode:Shadowlands,4,"A mad rush ensures to cover the distance while the ground is in the shadows. Snickers has to be thrown by the other due to his short legs, but they just about make it. They arrive and collapse in a fit of giggles realizing that having the rules has made the game more fun. In a final game of Mrs. Wolf, Coco changes her strategy and calls ""Dinnertime"" before the runners get too close — and Bluey is too surprised to run."
Recap:Episode:The_Weekend_0,Episode:The_Weekend,0,"As Bingo eats breakfast with Bandit one weekend morning, Bluey brings in a pretend letter for her dad with a claw hand, with a drumstick inside the envelope - an impromptu jam session ensues."
Recap:Episode:The_Weekend_1,Episode:The_Weekend,1,"Chilli heads off on a run while Bandit attempts to settle down in front of the TV to watch the cricket. However, with kids climbing all over him, he admits defeat and joins in with the game of ""Statues"". Shortly after commencement, however, Bandit pauses the game to go to the bathroom, with the girls joining him in there. After unpausing the game, Bluey, being the shopkeeper, sells Bandit what she says is a non-magical statue (Bingo). While Bandit goes to get his change, the ""statue"" moves places but Bluey just tells him he's ""probably just going crazy or something""."
Recap:Episode:The_Weekend_2,Episode:The_Weekend,2,"The ""magical statue"" then moves outside and the girls play a game of ding-dong-dash/knick-knocking on Bandit until he catches them at it, and chases them around the garden."
Recap:Episode:The_Weekend_3,Episode:The_Weekend,3,"The girls separate, and Bingo heads to the back garden, where she discovers a leaf insect. She tries to get her father's attention to show him the leaf bug, but he is too busy chasing the ""shopkeeper"" to get back his money. Eventually, the bug flies off just as Chilli returns from her run, and the three find Bingo waving into the sky."
Recap:Episode:The_Weekend_4,Episode:The_Weekend,4,"Later in the day, the girls have their bath and brushed their teeth. Chilli is tucking the girls in and, upon finding Bingo sad in her bed, calls for Bandit to come into the room. He apologises to Bingo for not hearing her, with him and Bluey recounting their day with the crazy ""statue"". Bingo cheers up and tells them she was the statue after all. Shortly afterwards, the girls go off to sleep happily."
Recap:Episode:BBQ_0,Episode:BBQ,0,"A barbecue gathering is happening at the Heeler house, with Bandit and Bluey setting up their respective BBQs (a real one and a pretend one)."
Recap:Episode:BBQ_1,Episode:BBQ,1,"Cut forward a short while and the gathering is in full swing. Bandit tells his brother Stripe a story of a dog while they have a drink and cook the sausages, while their wives, Chilli and Trixie respectively, talk about a shampoo. Meanwhile, at the kids' play BBQ, Bluey is cooking pretend sausages for her cousins Muffin and Socks, while Bingo brings over her ‘relaxing chair’ to relax in, tired because she had just set the table. Chilli brings a salad to the main table, to which Muffin and Socks decide they want salad too. Bandit's hat becomes the salad bowl, but an empty bowl isn't enough, and the kids demand a green capsicum salad, leaving Bingo to the work."
Recap:Episode:BBQ_2,Episode:BBQ,2,"After trying all Chilli's succulent plants (and discarding one with a bug that hits Bandit on the face, making him spill his drink, much to Uncle Stripe's amusement), Bingo adds some green capsicum (actually leaves) to the bowl. Bluey adds that she’d like yellow capsicum, so Bingo drags a bench over to reach a hanging pot of flowers - Bandit again spilling his drink as he goes to place it on the (moved) seat - but Chilli doesn't allow this due to the lack of safety. Instead, a tennis ball is thrown to the hanging basket, allowing for some petals to fall, though the ball rebounds, which once again knocks over Bandit's can. Muffin hasn't had enough yet, saying that she likes red capsicum the most, so Bingo bats down some blossoms off the poinciana tree, this time knocking Bandit's drink over with a flying seed pod."
Recap:Episode:BBQ_3,Episode:BBQ,3,"A disheveled Bingo tries to relax in her relaxing chair again, but now the kids want salad dressing. Bingo steals Bandit's new drink (a bottle of water) and goes to make some mud. She loses control of the hose which squirts Uncle Stripe in the face (much to Bandit's amusement) before she manages to turn it off and deliver a bottle of muddy-water salad dressing to the table. Chilli then makes her clean up the muddy footprints on the deck."
Recap:Episode:BBQ_4,Episode:BBQ,4,"Finally, Bingo can relax in her ‘relaxing chair’ until Bandit calls that the real sausages are ready. Amongst much excitement and congratulations at the lunch table over the sausages, Bingo loses her patience and reminds everyone to appreciate the salads too, to which all the family thank Chilli for her hard work on her salad, and Chilli thanks Bingo for her thanks."
Recap:Episode:Fruitbat_0,Episode:Fruitbat,0,"The Heelers have just finished a game of Pop-Up Croc when Chilli announces that it's time for bed. In protest, Bluey, followed by Bingo, runs outside where they say goodnight to the frogs, kangaroos and bilbies, before Bandit says goodnight to the fruitbats. Bingo informs him that they are ""octurnal"" (a mispronunciation of ""nocturnal""). After learning this, Bluey wishes she could stay up all night like a fruitbat."
Recap:Episode:Fruitbat_1,Episode:Fruitbat,1,"Bandit has to pull out every trick in his book to get Bingo, and especially Bluey, to bed: 'rocketship' to go up the stairs (having the girls pretend to be on a rocketship as he carries them), 'penguins' (allowing Bluey to slide on her belly on the bathroom floor) to have a shower, and ""story game"" for a bedtime book (he pretends to fall asleep when reading a story)."
Recap:Episode:Fruitbat_2,Episode:Fruitbat,2,"Bluey complains again that it's not fair as her parents say goodnight. Bingo falls asleep instantly, while Bluey tosses and turns. She eventually gets up and heads downstairs. Dad is having a nap on the floor and flailing about mid dream with his football. Chilli explains he is probably dreaming about playing touch football with his mates as he doesn't get to do it much anymore, being too busy with work and parenting. Bluey thinks maybe she could dream about being a fruitbat and rushes upstairs to bed."
Recap:Episode:Fruitbat_3,Episode:Fruitbat,3,"In a dream sequence, Bluey goes outside to try to find Bandit, and takes off from the deck to fly with the fruitbats in the sky. She flies past houses and hangs upside down in numerous trees to eat fruit with the fruitbats. Bluey hears Bandit and flies to find him on the footy field with his mates, scoring a try. They say hello before Bluey flies off again and wakes in her bed from the dream."
Recap:Episode:Fruitbat_4,Episode:Fruitbat,4,"The next morning, Chilli greets Bluey in the kitchen, while Bandit is doing sit ups on the floor and Bluey jumps on him to say thank you for looking after them, recalling from what Chilli said the previous night. Chilli offers Bluey her favorite breakfast: Fruit salad, which she declines, asking for toast instead, with both Chilli and Bingo taken aback by this change of heart."
Recap:Episode:Horsey_Ride_0,Episode:Horsey_Ride,0,"Bluey is waiting for Uncle Stripe and her cousins to arrive for a play date, and is playing with her special toy, Polly Puppy. As the doorbell rings, Chilli tells Bluey to put Polly Puppy away, because last time the cousins were over, Polly got dirty from the cousins spilling passion fruit on her, which made Bluey upset. Just as she goes to do this, Bandit picks her up and Polly Puppy is left on the ground."
Recap:Episode:Horsey_Ride_1,Episode:Horsey_Ride,1,"As the door opens, Trixie, Stripe and Muffin all greet Bandit, Chilli, Bluey and Bingo, though Socks is less welcoming. As soon as she sees her, Socks becomes attached to Polly Puppy. Meanwhile, the ladies leave to play hockey with one another, all the while Bandit and Stripe try to convince the girls to watch the cricket. They are unsuccessful, however, and it is horsey rides instead."
Recap:Episode:Horsey_Ride_2,Episode:Horsey_Ride,2,"Uncle Stripe becomes Sparkles the pony and Bandit becomes Gallahop - they are led around by Bluey until Muffin decides Sparkles needs some more glitter. Bluey runs inside to get it but encounters Socks viciously puppy-attacking Polly Puppy. Socks won’t drop it for anyone, and even snaps at her dad. After discussing the fact Bluey was going to put it safely away but was distracted by Bandit, they formulate a plan to distract Socks and rescue Polly Puppy - a ""horsey wedding""."
Recap:Episode:Horsey_Ride_3,Episode:Horsey_Ride,3,"The scene is set with a flower sprinkled aisle and toy guests in chairs. Bluey MC's and plays the keyboard while Bingo delivers a heartfelt sermon from the Book of Recipes. Socks still isn’t releasing Polly Puppy, but by now Bingo and Muffin are too interested in the wedding, and demand that their fathers get ""married"". This is too much for Stripe, who runs from the aisle (though still playing as a horse), with the three kids chasing after him."
Recap:Episode:Horsey_Ride_4,Episode:Horsey_Ride,4,"Stripe manages to loose the kids briefly, but is caught when trying to watch cricket. He is cornered by Socks (who has by now become invested in the game, dropping Polly Puppy), and is tacked by the younger girls. Bluey sneaks off to grab her toy, as Uncle Stripe and her each exchange a wink. The wedding continues, finishing just as the mothers return, and are filled in on the antics."
Recap:Episode:Hotel_0,Episode:Hotel,0,"Bluey and Bingo are hiding under the covers as Bandit begins to make the bed, but they force him to play Hotels instead. The kids set up the hotel and Bandit arrives to ""check in"" - Bingo wants to be a ""crazy pillow"" but Bluey tells her she is to be the crazy helper. Bluey gives him a tour of the rooms, to which he finally agrees on one, albeit after disturbing Bingo in the bathroom."
Recap:Episode:Hotel_1,Episode:Hotel,1,"Bandit pretends to go to sleep and Bingo bursts in playing a party blower and riding a broom before being carted off by ""hotel manager"" Bluey. Bingo busts in again, clanging saucepans exclaiming, ""Nighttime bacon!!!"" Bandit, being awakened at the late hour, decides to pretend-watch the news. Bingo and Bluey reenact the news as Bandit watches on, apparently in disbelief. Bingo asks to be a 'crazy pillow' twice more and after Bluey says ""no"" she runs off upset."
Recap:Episode:Hotel_2,Episode:Hotel,2,"Bandit ends the game and tells Bluey that she has to sort it out with Bingo if they want to keep playing. In an act of sibling negotiation, Bluey agrees to Bingo being a 'crazy pillow' in order to keep the game going. Bluey carries in the new pillow and Bandit lays down before being tickled and poked by the 'crazy pillow' resulting in a tickle fight. Chilli comes out of the shower to find a messier room than before, but smiles resignedly, as she knows there has been a good game had by her children and husband."
Recap:Episode:Bike_0,Episode:Bike,0,"Bluey is in the park trying to learn how to ride her bike, but gets increasingly frustrated by the difficulty of it and goes to sit next to her dad. She wonders why she can’t just do it the first time and Bandit tells her that the world doesn’t work like that. As this goes on, he and Bluey notice that the other kids in the park are having problems of their own: Bingo tries to get a drink out of the water fountain but is unable to before the timer runs out, Bentley cannot reach the monkey bars, and Muffin struggles to put her second arm through her backpack."
Recap:Episode:Bike_1,Episode:Bike,1,"Bandit and Bluey cheer the other girls on as everyone has a second attempt... Bingo misses the water again, Bentley tries jumping for the monkey bars but misses, and Muffin falls over after spinning in circles trying to reach for the arm hole."
Recap:Episode:Bike_2,Episode:Bike,2,"Frustration hits... Muffin then has, as Bandit puts it, a ""meltdown"" and yells out, “why won’t you go on my back!?”, Bentley jumps and misses for a second time, hitting the ground again and yells, “why can’t I do it straight away!?” (which Bluey notices is the same thing she said earlier) and Bingo is out of time for the fountain for a third time, saying sadly, “I’ll never be able to drink water again.” Seeing her sister curl into a ball, Bluey starts to go over to help her, but her father holds her back, telling her to watch them instead."
Recap:Episode:Bike_3,Episode:Bike,3,"Each of the kids silently regret the fact that they cannot do what they want, but slowly move back towards the item that they so desperately want. Muffin, after crawling on the floor, is able to attach her bag to her back, Bentley is able to climb onto the frame and so onto the monkey bars, and Bingo is able to get the water to drip from the fountain onto the floor (which is less than ideal, ""but still a win"")."
Recap:Episode:Bike_4,Episode:Bike,4,"After the motivation of her friends perseverance, Bluey puts on her helmet and gives the bike another go, where the episode ends."
Recap:Episode:Bob_Bilby_0,Episode:Bob_Bilby,0,"Bandit picks Bingo up from kindy, and she has Bob Bilby (the class mascot) to bring home for the weekend."
Recap:Episode:Bob_Bilby_1,Episode:Bob_Bilby,1,"In the dining room table, Bluey recalls that she got to take Bob home when she was in kindy. The family look through Bob's scrapbook to see, among other things, his trip to Scotland and his karate lessons."
Recap:Episode:Bob_Bilby_2,Episode:Bob_Bilby,2,"After making Bandit pose as a cow with Bob and Bingo in his back, the girls get distracted showing Bob the functions on their tablet. Chilli snaps a pic of the three of them playing a game on the tablet. Then on the way to the supermarket, rather than playing some car games, the girls demand ""cartoons"", with another pic on Chilli's phone showing Bluey Bingo and Bob all absorbed in screen time. At the supermarket, the kids, Bob and Chilli all get distracted by the TV sets (with Bandit taking a photo on his phone) and at home, they play more games on the tablet, with one more picture taken."
Recap:Episode:Bob_Bilby_3,Episode:Bob_Bilby,3,"When Chilli prints out the pictures for Bob Bilby's book, the family disappointingly realize he is just watching screens in every photo. Bingo sees the photo album and runs off in regret. As the family comforts her, Bingo thinks that Bob has had a boring time so far. The family then decides that it's best for them to ditch electronics for a day to make sure Bob has a good time."
Recap:Episode:Bob_Bilby_4,Episode:Bob_Bilby,4,"All the screens are stashed away in the laundry basket and Bandit gets his old Polaroid camera out of storage. Chilli brings the bikes around and the family go for a bike ride to show Bob a good time - they play at the park, make silly faces and watch some fireworks. Bingo shows the class Bob's exciting (non screen time) adventures with her, and then she gives Bob to his next friend for a sleepover."
Recap:Episode:Spy_Game_0,Episode:Spy_Game,0,"The Heeler, Border-Collie, Dalmatian and Beagle families are meeting at the park for a barbeque. The parents are relaxing and talking with one another, though the spies (Bluey and Mackenzie), steal ""samples"" of hair from the adults. They return to the secret lair (an area under a nearby tree) and pass the guards Chloe and Honey. The samples go to Bingo (who insists on being called Sparkleshot) who is in charge of collecting the ""potion-grass"" to make the adult-controlling potion."
Recap:Episode:Spy_Game_1,Episode:Spy_Game,1,"As the spies go out to collect more samples, a disgruntled Bingo finds Bandit as she needs to do a wee, but Bluey informs Bingo she can't play with them anymore if she doesn't do her job. Bluey returns to tell the spy team that they've lost Bingo so someone else will have to get the potion-grass. Neither Honey nor Chloe want to, so Mackenzie suggests they use an old chip/crisp packet."
Recap:Episode:Spy_Game_2,Episode:Spy_Game,2,"There is a kerfuffle over who's taking on what role now and Bluey is stressed as the game isn't going to her plan, and is annoyed as she now becomes a guard."
Recap:Episode:Spy_Game_3,Episode:Spy_Game,3,"When the spell is complete, Mackenzie attempts to make Chilli dance. However, it is Honey's mum who dances. This results in a squabble over the potion controllers as Bluey runs to find her dad and complain to him. Bingo is in the process of washing her hands while Bluey explains to Bandit that no one is doing the right thing. Bandit attempts to explain (via rock allegory) the dog-pack-hierarchy. This goes straight over Bluey's head, so Bandit just tells her to do her best."
Recap:Episode:Spy_Game_4,Episode:Spy_Game,4,"In an attempt at reconciliation, Bluey asks Bingo (Sparkleshot) to rejoin the game. The spy team cheer at Bingo's return to the game and Bluey]] tasks them all to complete their missions so the potion can be completed. Mackenzie, Chloe and Honey start squabbling again as to whose turn it is to operate the potion controls, but Bluey announces that it's Bingo's turn to control, to everyone's agreement. Bingo Heeler controls all the parents into turning crazy - at which point the barbeque catches on fire, causing mayhem, and pizza for dinner instead."
Recap:Episode:Takeaway_0,Episode:Takeaway,0,"The episode is set entirely at the local Chinese takeaway, with Bandit, Bluey, and Bingo having just pulled into the car park. Bandit goes in to collect the dinner, and starts to leave until he notices that the spring rolls are missing. As he notifies the staff of this, they have to wait another five minutes."
Recap:Episode:Takeaway_1,Episode:Takeaway,1,"The kids ask what they can do in that time, to which Bandit replies that they'll play ""Dad Reads the Newspaper."" However, Bluey is thirsty and wants a juice from the takeaway. Bandit turns an exterior tap on for her instead (which gives her the idea for having a tap shower, which is immediately shut down) while Bingo asks if she can eat the plants in the drain like she can eat the plant lettuce. Bandit goes to turn off the tap, and just as he sits down, Bingo asks for a drink. After that, the girls go and play restaurant, as their father goes to check how long the spring rolls will be. Bingo goes to take a bite of the takeaway, and finds it too spicy; Bandit has to have her mouth under the tap to try and cool it down, which works, but now Bingo needs the toilet. He asks where the closest toilets are, but they're too far away, so the only option left is a ""bush-wee"" (urinating into a bush)."
Recap:Episode:Takeaway_2,Episode:Takeaway,2,"While Bandit is 'busy', Bluey turns on the tap again, and to her horror is releasing loads of water, with the crows flying down to eat the takeaway. After an exceptionally long wee, Bingo is finished, freeing Bandit who chases off the crows and turns off the tap. Bandit sits down, needing a rest after the past four minutes, when Bingo asks where the first baby came from. Bandit ponders his response, but decides to just leave the spring roles and head for home. As he does so, he slips on a wet menu, spilling all the food."
Recap:Episode:Takeaway_3,Episode:Takeaway,3,"At that moment, the takeaway worker comes out and says that the spring roles will be another five minutes, and offers a fortune cookie each as compensation. The fortune on Bluey's cookie reads, ""Flowers may bloom again, but a person never has a chance to be young again."" Bluey asks what that means, and Bandit ponders himself, before finally deciding to allow the kids to have a shower under the tap."
Recap:Episode:Butterflies_0,Episode:Butterflies,0,"Bandit has just made a fabric swing from the tree for the girls to play on when Judo arrives. The three decide to play ""Butterflies"", which Bluey demonstrates as being a caterpillar - then hopping into the swing/cocoon and emerging as a butterfly before trying to escape the butterfly catchers. Bingo volunteers to go first but has to take an awkward side step as Judo jumps in. The sisters go off to hide as butterfly catchers, but Bingo notices a bug and makes up a song about it."
Recap:Episode:Butterflies_1,Episode:Butterflies,1,"Once Judo emerges as a butterfly the sisters catch her, and now Bingo takes her turn. Judo complains that she takes too long, but Bluey defends her as she has little legs. However, Bingo now starts to sing her ""little bug"" song and both of the elder children start to get impatient, to which Judo suggests that the run away. Bluey agrees, but is unsure."
Recap:Episode:Butterflies_2,Episode:Butterflies,2,"Bingo emerges as a butterfly, and she flutters around the garden, but no butterfly catchers are there to catch her. Bluey and Judo are playing together but are found by Bingo. Judo tells Bluey to run away with her away from Bingo. Bluey is unsure, and is put on the spot, but runs after Judo, with regret with her eyes. Hurt, Bingo goes back to her cocoon and sings her little bug song to herself. Meanwhile, Judo insists that Bluey plays ""phones"" with her, but Bluey wants to check on Bingo. Now Judo focuses the game entirely on herself, not letting Bluey have a word in edgeways; Bluey gets tired of this and sneaks away, going to find her sister."
Recap:Episode:Butterflies_3,Episode:Butterflies,3,"Bluey apologises to Bingo for leaving her, but she sister remains in her cocoon; this causes Bluey to start welling up in tears, and she sits beside the tree. Bluey starts to sing the bug song, but Bingo starts to join in, taking her out of her cocoon. The two hug and make up, but are interrupted as Judo rings. They both hide in the swing, but Judo finds them eventually. Accusations fly from all sides, but eventually the three make up with one another. They decide to play Butterflies again, but all three decide they want to be the catcher, which leaves Bandit (and his washing) as their next victim."
Recap:Episode:Yoga_Ball_0,Episode:Yoga_Ball,0,"Bandit is working from home today, so he doesn't have time to play games — or so he loudly proclaims, while playing Elevator with Bluey and Bingo.  When he tries to sit down and get some work done, he finds that the kids have stolen the yoga ball that he uses as a computer chair.  He chases them down, and bounces them on the yoga ball as ""punishment.""  Bingo looks a bit queasy at this treatment."
Recap:Episode:Yoga_Ball_1,Episode:Yoga_Ball,1,"They make off with the ball again, this time dressing it in a hat and stickers and putting it to bed.  When Bandit gets it back to his office, Bluey takes over the actual office chair and demands to play Delivery Chair.  This involves stamping the packages (with a poke to the stomach, which leaves Bingo a bit staggered), and then carefully chucking them onto Mum and Dad's bed.  Bingo lands a bit hard."
Recap:Episode:Yoga_Ball_2,Episode:Yoga_Ball,2,"Bandit tries to get back to his office, but now Bluey wants to play Raiders, the game where Bandit throws the ball down the hallway and goes ♫ na-na-na-na ♫, and Bluey and Bingo jump into a doorway to escape it.  A few rounds in, Bingo doesn't make it and gets flattened by the ball.  Bandit picks her up and advises her to ""walk it off.""  Bingo walks downstairs and curls up under the poinciana.  Tears well up in her eyes."
Recap:Episode:Yoga_Ball_3,Episode:Yoga_Ball,3,"Chilli spots her, and they have a talk.  Dad has been playing too rough with Bingo.  Chilli asks if she used her big girl bark, but Bingo says she does not have a very good one.  Chilli gives her a pep talk, and gets Bingo to do a big girl bark.  They go off to talk to Bandit."
Recap:Episode:Yoga_Ball_4,Episode:Yoga_Ball,4,"Bluey gloats that Bandit's in trouble, Chilli responds that Bingo just has something she needs to say — Dad has been playing too rough.  After all, she is only four.  Bandit apologizes, and Chilli prompts that Bingo doesn't want Dad to stop playing with her, and she'll get better at using her big girl bark.  To practice, Bandit bounces her on the yoga ball a few times, and Bingo yips when he's bouncing her too hard."
Recap:Episode:Yoga_Ball_5,Episode:Yoga_Ball,5,"Conflict resolved, Bandit shoos everyone out of his office, only to find the ball is gone again.  Bluey has dressed it up and put it on the toilet."
Recap:Episode:Calypso_(Episode)_0,Episode:Calypso_(Episode),0,"The episode begins with Bluey and her school friends listening to Calypso tell a story about a gnome.  Calypso wraps up the story with a song, as the kids get up and go to play.  Most of the kids set up to play their various games, but Pretzel just flops down on a rug and groans. Calypso sits down at a table nearby.  She shows him a stick, in hopes that it will inspire him - but he doesn't feel like playing anything.  Honey comes up to Calypso and asks if she can have a gnome for the village she's building."
Recap:Episode:Calypso_(Episode)_1,Episode:Calypso_(Episode),1,"This starts Calypso on her first lap around the room.  She visits Honey's village, which is just a tree and a hill.  She suggests that the gnome will need a place to sleep.  Then, Calypso visits Bluey, who has set up a fish and chips shop (but they've run out of fish).  She visits Chloe, Coco, and Indy, who are playing Mums with baby dolls.  They're all pretending to live in the same play house.  Calypso comments that it's crowded, and Indy says she may move out soon.  Calypso lets them know about the fish and chip shop that just opened up.  She visits Rusty, who is using boards and some wooden supports to build a house - it's going to have a bottom room and a top room.  Calypso lets him know that Indy is looking for somewhere to live.  Finally, she visits the Terriers, who have made another Roman fort. She checks that they're here to protect the kingdom, which they are."
Recap:Episode:Calypso_(Episode)_2,Episode:Calypso_(Episode),2,"Calypso sits back down by Pretzel (who is still sighing on the floor.  Honey shows up again - she now has a hut for the gnome to sleep in.  Calypso suggests that she'll also need a forest to take walks.  She visits the chip shop - Chloe and Coco are eating there.  Indy comes in and makes small talk - Bluey is swamped with work, Indy is moving out.  Rusty hears this and runs up - he offers for Indy to move in with him.  She likes the look of the house, but she'll need money, and for that she needs a job.  She hands her baby over to Rusty, and goes off to waitress for Bluey.  Rusty, meanwhile, shows baby Polly how to build a fence.  Indy walks by the Roman fort.  The Terriers ask if she needs protecting - not right now."
